Position,Evaluation
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,39
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,36
rnbqkbnr/ppp1pppp/8/3p4/2PP4/8/PP2PPPP/RNBQKBNR b KQkq - 0 2,37
rnbqkbnr/pp2pppp/2p5/3p4/2PP4/8/PP2PPPP/RNBQKBNR w KQkq - 0 3,38
rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 3,20
rnbqkbnr/pp3ppp/2p1p3/3P4/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 4,185
rnbqkbnr/pp3ppp/2p1P3/8/3P4/8/PP2PPPP/RNBQKBNR b KQkq - 0 4,179
rnbqkbnr/pp4pp/2p1p3/8/3P4/8/PP2PPPP/RNBQKBNR w KQkq - 0 5,227
rnbqkbnr/pp4pp/2p1p3/8/3P4/5N2/PP2PPPP/RNBQKB1R b KQkq - 1 5,241
rnbqk1nr/pp4pp/2p1p3/8/1b1P4/5N2/PP2PPPP/RNBQKB1R w KQkq - 2 6,267
rnbqk1nr/pp4pp/2p1p3/8/1b1P4/2N2N2/PP2PPPP/R1BQKB1R b KQkq - 3 6,221
rnbqk1nr/pp4pp/2p1p3/b7/3P4/2N2N2/PP2PPPP/R1BQKB1R w KQkq - 4 7,286
rnbqk1nr/pp4pp/2p1p3/b7/3P1B2/2N2N2/PP2PPPP/R2QKB1R b KQkq - 5 7,271
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,29
r1bqkbnr/pppppppp/2n5/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 1 2,73
r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR b KQkq - 0 2,61
r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq - 0 3,69
r1bqkbnr/pppp1ppp/2n5/4p3/3PPP2/8/PPP3PP/RNBQKBNR b KQkq - 0 3,-113
r1bqkbnr/pppp2pp/2n2p2/4p3/3PPP2/8/PPP3PP/RNBQKBNR w KQkq - 0 4,115
r1bqkbnr/pppp2pp/2n2p2/4P3/4PP2/8/PPP3PP/RNBQKBNR b KQkq - 0 4,67
r1bqkbnr/pppp2pp/2n5/4p3/4PP2/8/PPP3PP/RNBQKBNR w KQkq - 0 5,82
r1bqkbnr/pppp2pp/2n5/4P3/4P3/8/PPP3PP/RNBQKBNR b KQkq - 0 5,-148
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNBQKBNR w KQkq - 0 6,49
r1bqkbnr/pppp2pp/8/4n3/3QP3/8/PPP3PP/RNB1KBNR b KQkq - 1 6,-13
r1bqkbnr/pppp2pp/2n5/8/3QP3/8/PPP3PP/RNB1KBNR w KQkq - 2 7,4
r1bqkbnr/pppp2pp/2n5/4Q3/4P3/8/PPP3PP/RNB1KBNR b KQkq - 3 7,-675
r1bqkbnr/pppp2pp/8/4n3/4P3/8/PPP3PP/RNB1KBNR w KQkq - 0 8,-722
r1bqkbnr/pppp2pp/8/4n3/2P1P3/8/PP4PP/RNB1KBNR b KQkq - 0 8,-883
r1bqk1nr/pppp2pp/8/4n3/1bP1P3/8/PP4PP/RNB1KBNR w KQkq - 1 9,-782
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,45
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,44
rnbqkbnr/pppp1ppp/8/4p3/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq - 0 2,3
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3P4/PPP2PPP/RNBQKBNR w KQkq - 0 3,19
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/3PB3/PPP2PPP/RN1QKBNR b KQkq - 1 3,3
rnbqkbnr/pp3ppp/2pp4/4p3/4P3/3PB3/PPP2PPP/RN1QKBNR w KQkq - 0 4,19
rnbqkbnr/pp3ppp/2pp4/4p3/4P3/3PB3/PPP1BPPP/RN1QK1NR b KQkq - 1 4,-2
rnbqkbnr/p4ppp/2pp4/1p2p3/4P3/3PB3/PPP1BPPP/RN1QK1NR w KQkq - 0 5,63
rnbqkbnr/p4ppp/2pp4/1p2p3/4P3/3PB3/PPPNBPPP/R2QK1NR b KQkq - 1 5,54
rnbqkbnr/5ppp/2pp4/pp2p3/4P3/3PB3/PPPNBPPP/R2QK1NR w KQkq - 0 6,65
rnbqkbnr/5ppp/2pp4/pp2p3/P3P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 6,62
rnbqkbnr/5ppp/3p4/ppp1p3/P3P3/3PB3/1PPNBPPP/R2QK1NR w KQkq - 0 7,246
rnbqkbnr/5ppp/3p4/pPp1p3/4P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 7,242
r1bqkbnr/5ppp/2np4/pPp1p3/4P3/3PB3/1PPNBPPP/R2QK1NR w KQkq - 1 8,560
r1bqkbnr/5ppp/2Pp4/p1p1p3/4P3/3PB3/1PPNBPPP/R2QK1NR b KQkq - 0 8,565
2bqkbnr/5ppp/r1Pp4/p1p1p3/4P3/3PB3/1PPNBPPP/R2QK1NR w KQk - 1 9,614
2bqkbnr/5ppp/r1Pp4/p1p1p3/2N1P3/3PB3/1PP1BPPP/R2QK1NR b KQk - 2 9,594
2bqkbnr/5ppp/r1Pp4/2p1p3/p1N1P3/3PB3/1PP1BPPP/R2QK1NR w KQk - 0 10,614
2bqkbnr/5ppp/r1Pp4/2p1p3/p1N1P3/2PPB3/1P2BPPP/R2QK1NR b KQk - 0 10,589
2bqkbnr/5ppp/r1Pp4/2p1p3/2N1P3/p1PPB3/1P2BPPP/R2QK1NR w KQk - 0 11,629
2bqkbnr/5ppp/r1Pp4/2p1p3/4P3/N1PPB3/1P2BPPP/R2QK1NR b KQk - 0 11,613
2bqkbnr/5ppp/2Pp4/2p1p3/4P3/r1PPB3/1P2BPPP/R2QK1NR w KQk - 0 12,675
2bqkbnr/5ppp/2Pp4/2p1p3/4P3/R1PPB3/1P2BPPP/3QK1NR b Kk - 0 12,652
2bqkbnr/5ppp/2Pp4/4p3/2p1P3/R1PPB3/1P2BPPP/3QK1NR w Kk - 0 13,737
2bqkbnr/5ppp/2Pp4/4p3/2P1P3/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 13,710
2bqkbnr/5ppp/2P5/3pp3/2P1P3/R1P1B3/1P2BPPP/3QK1NR w Kk - 0 14,769
2bqkbnr/5ppp/2P5/3Pp3/4P3/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 14,672
2b1kbnr/5ppp/2P5/3qp3/4P3/R1P1B3/1P2BPPP/3QK1NR w Kk - 0 15,1593
2b1kbnr/5ppp/2P5/3Pp3/8/R1P1B3/1P2BPPP/3QK1NR b Kk - 0 15,1051
4kbnr/5ppp/2P1b3/3Pp3/8/R1P1B3/1P2BPPP/3QK1NR w Kk - 1 16,Mate in <bound method Mate.mate of Mate(+5)>
R3kbnr/5ppp/2P1b3/3Pp3/8/2P1B3/1P2BPPP/3QK1NR b Kk - 2 16,Mate in <bound method Mate.mate of Mate(-5)>
R4bnr/4kppp/2P1b3/3Pp3/8/2P1B3/1P2BPPP/3QK1NR w K - 3 17,Mate in <bound method Mate.mate of Mate(+5)>
R4bnr/4kppp/2P1b3/2BPp3/8/2P5/1P2BPPP/3QK1NR b K - 4 17,1548
R4bnr/5ppp/2P1bk2/2BPp3/8/2P5/1P2BPPP/3QK1NR w K - 5 18,1609
R4Bnr/5ppp/2P1bk2/3Pp3/8/2P5/1P2BPPP/3QK1NR b K - 0 18,1686
R4Bnr/5ppp/2P1b1k1/3Pp3/8/2P5/1P2BPPP/3QK1NR w K - 1 19,Mate in <bound method Mate.mate of Mate(+6)>
R5nr/5pBp/2P1b1k1/3Pp3/8/2P5/1P2BPPP/3QK1NR b K - 0 19,1470
R5nr/5pkp/2P1b3/3Pp3/8/2P5/1P2BPPP/3QK1NR w K - 0 20,1589
R5nr/5pkp/2P1P3/4p3/8/2P5/1P2BPPP/3QK1NR b K - 0 20,1626
R5nr/5p1p/2P1P2k/4p3/8/2P5/1P2BPPP/3QK1NR w K - 1 21,Mate in <bound method Mate.mate of Mate(+6)>
R5nr/5P1p/2P4k/4p3/8/2P5/1P2BPPP/3QK1NR b K - 0 21,Mate in <bound method Mate.mate of Mate(-5)>
R6r/5P1p/2P2n1k/4p3/8/2P5/1P2BPPP/3QK1NR w K - 1 22,Mate in <bound method Mate.mate of Mate(+5)>
7R/5P1p/2P2n1k/4p3/8/2P5/1P2BPPP/3QK1NR b K - 0 22,Mate in <bound method Mate.mate of Mate(-4)>
7R/5P1p/2P4k/4p2n/8/2P5/1P2BPPP/3QK1NR w K - 1 23,Mate in <bound method Mate.mate of Mate(+3)>
7R/5P1p/2P4k/4p2B/8/2P5/1P3PPP/3QK1NR b K - 0 23,Mate in <bound method Mate.mate of Mate(-2)>
7R/5P1p/2P5/4p1kB/8/2P5/1P3PPP/3QK1NR w K - 1 24,Mate in <bound method Mate.mate of Mate(+2)>
8/5P1R/2P5/4p1kB/8/2P5/1P3PPP/3QK1NR b K - 0 24,Mate in <bound method Mate.mate of Mate(-2)>
8/5P1R/2P5/4pk1B/8/2P5/1P3PPP/3QK1NR w K - 1 25,Mate in <bound method Mate.mate of Mate(+2)>
8/5P1R/2P5/4pk1B/8/2P2Q2/1P3PPP/4K1NR b K - 2 25,Mate in <bound method Mate.mate of Mate(-2)>
8/5P1R/2P1k3/4p2B/8/2P2Q2/1P3PPP/4K1NR w K - 3 26,Mate in <bound method Mate.mate of Mate(+2)>
8/5P1R/2P1k3/4p3/6B1/2P2Q2/1P3PPP/4K1NR b K - 4 26,Mate in <bound method Mate.mate of Mate(-1)>
8/5P1R/2Pk4/4p3/6B1/2P2Q2/1P3PPP/4K1NR w K - 5 27,Mate in <bound method Mate.mate of Mate(+1)>
8/5P2/2Pk3R/4p3/6B1/2P2Q2/1P3PPP/4K1NR b K - 6 27,Mate in <bound method Mate.mate of Mate(-3)>
8/5P2/2P4R/2k1p3/6B1/2P2Q2/1P3PPP/4K1NR w K - 7 28,Mate in <bound method Mate.mate of Mate(+3)>
8/5P2/2P4R/2k1p3/6B1/2P1Q3/1P3PPP/4K1NR b K - 8 28,Mate in <bound method Mate.mate of Mate(-3)>
8/5P2/2P4R/1k2p3/6B1/2P1Q3/1P3PPP/4K1NR w K - 9 29,Mate in <bound method Mate.mate of Mate(+3)>
8/5P2/2P4R/1k2p3/2P3B1/4Q3/1P3PPP/4K1NR b K - 0 29,Mate in <bound method Mate.mate of Mate(-3)>
8/5P2/2P4R/4p3/1kP3B1/4Q3/1P3PPP/4K1NR w K - 1 30,Mate in <bound method Mate.mate of Mate(+2)>
8/5P2/2P4R/4p3/1kP3B1/2Q5/1P3PPP/4K1NR b K - 2 30,Mate in <bound method Mate.mate of Mate(-2)>
8/5P2/2P4R/4p3/k1P3B1/2Q5/1P3PPP/4K1NR w K - 3 31,Mate in <bound method Mate.mate of Mate(+1)>
8/5P2/2P4R/4p3/k1P5/2Q5/1P3PPP/3BK1NR b K - 4 31,Mate in <bound method Mate.mate of Mate(-0)>
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,30
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,30
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,32
rn1qkbnr/ppp1pppp/8/3p1b2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 2 3,58
rn1qkbnr/ppp1pppp/8/3p1b2/3P4/2N2N2/PPP1PPPP/R1BQKB1R b KQkq - 3 3,-3
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P4/2N2N2/PPP1PPPP/R1BQKB1R w KQkq - 4 4,2
rn1qkb1r/ppp1pppp/5n2/3p1b2/3P1B2/2N2N2/PPP1PPPP/R2QKB1R b KQkq - 5 4,0
rn1qkb1r/ppp1pppp/8/3p1b2/3P1Bn1/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 6 5,79
rn1qkb1r/ppp1pppp/8/3p1b2/3P1Bn1/2N1PN2/PPP2PPP/R2QKB1R b KQkq - 0 5,59
r2qkb1r/ppp1pppp/2n5/3p1b2/3P1Bn1/2N1PN2/PPP2PPP/R2QKB1R w KQkq - 1 6,121
r2qkb1r/ppp1pppp/2n5/3p1b2/3P1Bn1/2N1PN2/PPP1BPPP/R2QK2R b KQkq - 2 6,60
r3kb1r/pppqpppp/2n5/3p1b2/3P1Bn1/2N1PN2/PPP1BPPP/R2QK2R w KQkq - 3 7,171
r3kb1r/pppqpppp/2n5/3p1b2/3P1Bn1/2N1PN2/PPP1BPPP/R2Q1RK1 b kq - 4 7,112
2kr1b1r/pppqpppp/2n5/3p1b2/3P1Bn1/2N1PN2/PPP1BPPP/R2Q1RK1 w - - 5 8,185
2kr1b1r/pppqpppp/2n5/1N1p1b2/3P1Bn1/4PN2/PPP1BPPP/R2Q1RK1 b - - 6 8,227
2kr1b1r/pppqpppp/8/1N1p1b2/1n1P1Bn1/4PN2/PPP1BPPP/R2Q1RK1 w - - 7 9,365
2kr1b1r/pppqpppp/8/1N1p1b2/1n1P1Bn1/4PN2/PPP1BPPP/2RQ1RK1 b - - 8 9,248
2kr1b1r/pppqpppp/8/1N1p1b2/3P1Bn1/4PN2/nPP1BPPP/2RQ1RK1 w - - 0 10,556
2kr1b1r/pppqpppp/8/1N1p1b2/3P1Bn1/4PN2/nPP1BPPP/R2Q1RK1 b - - 1 10,574
2kr1b1r/pppqpppp/8/1N1p1b2/1n1P1Bn1/4PN2/1PP1BPPP/R2Q1RK1 w - - 2 11,651
2kr1b1r/Nppqpppp/8/3p1b2/1n1P1Bn1/4PN2/1PP1BPPP/R2Q1RK1 b - - 0 11,622
1k1r1b1r/Nppqpppp/8/3p1b2/1n1P1Bn1/4PN2/1PP1BPPP/R2Q1RK1 w - - 1 12,617
1k1r1b1r/1ppqpppp/8/1N1p1b2/1n1P1Bn1/4PN2/1PP1BPPP/R2Q1RK1 b - - 2 12,497
1k1r1b1r/1ppqpppp/8/1N1p4/1n1P1Bn1/4PN2/1Pb1BPPP/R2Q1RK1 w - - 0 13,564
1k1r1b1r/1pBqpppp/8/1N1p4/1n1P2n1/4PN2/1Pb1BPPP/R2Q1RK1 b - - 0 13,559
2kr1b1r/1pBqpppp/8/1N1p4/1n1P2n1/4PN2/1Pb1BPPP/R2Q1RK1 w - - 1 14,Mate in <bound method Mate.mate of Mate(+1)>
2kr1b1r/1pBqpppp/8/1N1p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 b - - 2 14,819
2kr1b1r/1pB1pppp/2q5/1N1p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 w - - 3 15,958
2kr1b1r/NpB1pppp/2q5/3p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 b - - 4 15,758
3r1b1r/NpBkpppp/2q5/3p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 w - - 5 16,929
3r1b1r/1pBkpppp/2N5/3p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 b - - 0 16,950
3r1b1r/2Bkpppp/2p5/3p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 w - - 0 17,1159
3B1b1r/3kpppp/2p5/3p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 b - - 0 17,1130
3k1b1r/4pppp/2p5/3p4/1n1P2n1/4PN2/1PbQBPPP/R4RK1 w - - 0 18,Mate in <bound method Mate.mate of Mate(+6)>
3k1b1r/4pppp/2p5/3p4/1Q1P2n1/4PN2/1Pb1BPPP/R4RK1 b - - 0 18,Mate in <bound method Mate.mate of Mate(-5)>
3k1b1r/5ppp/2p5/3pp3/1Q1P2n1/4PN2/1Pb1BPPP/R4RK1 w - - 0 19,Mate in <bound method Mate.mate of Mate(+4)>
1Q1k1b1r/5ppp/2p5/3pp3/3P2n1/4PN2/1Pb1BPPP/R4RK1 b - - 1 19,Mate in <bound method Mate.mate of Mate(-6)>
1Q3b1r/4kppp/2p5/3pp3/3P2n1/4PN2/1Pb1BPPP/R4RK1 w - - 2 20,Mate in <bound method Mate.mate of Mate(+5)>
1Q3b1r/4kppp/2p5/3pP3/6n1/4PN2/1Pb1BPPP/R4RK1 b - - 0 20,Mate in <bound method Mate.mate of Mate(-4)>
1Q3b1r/4kppp/2p5/3pP3/4b1n1/4PN2/1P2BPPP/R4RK1 w - - 1 21,Mate in <bound method Mate.mate of Mate(+2)>
1Q3b1r/R3kppp/2p5/3pP3/4b1n1/4PN2/1P2BPPP/5RK1 b - - 2 21,Mate in <bound method Mate.mate of Mate(-1)>
1Q3b1r/R4ppp/2p1k3/3pP3/4b1n1/4PN2/1P2BPPP/5RK1 w - - 3 22,Mate in <bound method Mate.mate of Mate(+1)>
4Qb1r/R4ppp/2p1k3/3pP3/4b1n1/4PN2/1P2BPPP/5RK1 b - - 4 22,Mate in <bound method Mate.mate of Mate(-3)>
4Qb1r/R4ppp/2p5/3pPk2/4b1n1/4PN2/1P2BPPP/5RK1 w - - 5 23,Mate in <bound method Mate.mate of Mate(+3)>
5b1r/R4Qpp/2p5/3pPk2/4b1n1/4PN2/1P2BPPP/5RK1 b - - 0 23,Mate in <bound method Mate.mate of Mate(-5)>
5b1r/R4Qpp/2p2n2/3pPk2/4b3/4PN2/1P2BPPP/5RK1 w - - 1 24,Mate in <bound method Mate.mate of Mate(+5)>
5b1r/R4Qpp/2p2n2/3pPk2/4b2N/4P3/1P2BPPP/5RK1 b - - 2 24,Mate in <bound method Mate.mate of Mate(-5)>
5b1r/R4Qpp/2p2n2/3pP1k1/4b2N/4P3/1P2BPPP/5RK1 w - - 3 25,Mate in <bound method Mate.mate of Mate(+5)>
5b1r/R4Qpp/2p2n2/3pP1k1/4b2N/4P1P1/1P2BP1P/5RK1 b - - 0 25,Mate in <bound method Mate.mate of Mate(-6)>
5b1r/R4Qpp/2p5/3pP1k1/4b1nN/4P1P1/1P2BP1P/5RK1 w - - 1 26,Mate in <bound method Mate.mate of Mate(+2)>
5b1r/R5pp/2p5/3pP1k1/4bQnN/4P1P1/1P2BP1P/5RK1 b - - 2 26,Mate in <bound method Mate.mate of Mate(-1)>
5b1r/R5pp/2p5/3pP2k/4bQnN/4P1P1/1P2BP1P/5RK1 w - - 3 27,Mate in <bound method Mate.mate of Mate(+1)>
5b1r/R5pp/2p5/3pP2k/4b1QN/4P1P1/1P2BP1P/5RK1 b - - 0 27,Mate in <bound method Mate.mate of Mate(-1)>
5b1r/R5pp/2p4k/3pP3/4b1QN/4P1P1/1P2BP1P/5RK1 w - - 1 28,Mate in <bound method Mate.mate of Mate(+1)>
5b1r/R5pp/2p4k/3pP3/4bQ1N/4P1P1/1P2BP1P/5RK1 b - - 2 28,Mate in <bound method Mate.mate of Mate(-2)>
5b1r/R6p/2p4k/3pP1p1/4bQ1N/4P1P1/1P2BP1P/5RK1 w - - 0 29,Mate in <bound method Mate.mate of Mate(+2)>
5b1r/R6p/2p2Q1k/3pP1p1/4b2N/4P1P1/1P2BP1P/5RK1 b - - 1 29,Mate in <bound method Mate.mate of Mate(-1)>
5b1r/R6p/2p2Qbk/3pP1p1/7N/4P1P1/1P2BP1P/5RK1 w - - 2 30,Mate in <bound method Mate.mate of Mate(+1)>
5b1r/R6p/2p2QNk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 b - - 0 30,Mate in <bound method Mate.mate of Mate(-2)>
7r/R5bp/2p2QNk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 w - - 1 31,Mate in <bound method Mate.mate of Mate(+1)>
7r/R5Qp/2p3Nk/3pP1p1/8/4P1P1/1P2BP1P/5RK1 b - - 0 31,Mate in <bound method Mate.mate of Mate(-0)>
rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR b KQkq - 0 1,24
rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPP1PPP/RNBQKBNR w KQkq - 0 2,44
rnbqkbnr/pppp1ppp/8/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R b KQkq - 1 2,43
rnbqkbnr/ppp2ppp/3p4/4p3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq - 0 3,59
rnbqkbnr/ppp2ppp/3p4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 3,57
r1bqkbnr/ppp2ppp/2np4/4p3/3PP3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 4,67
r1bqkbnr/ppp2ppp/2np4/3Pp3/4P3/5N2/PPP2PPP/RNBQKB1R b KQkq - 0 4,73
r1bqkbnr/ppp2ppp/3p4/3Pp3/1n2P3/5N2/PPP2PPP/RNBQKB1R w KQkq - 1 5,106
r1bqkbnr/ppp2ppp/3p4/3Pp3/1n2P3/P4N2/1PP2PPP/RNBQKB1R b KQkq - 0 5,102
r1bqkbnr/ppp2ppp/n2p4/3Pp3/4P3/P4N2/1PP2PPP/RNBQKB1R w KQkq - 1 6,94
r1bqkbnr/ppp2ppp/n2p4/3Pp3/4P3/P1N2N2/1PP2PPP/R1BQKB1R b KQkq - 2 6,98
r1bqk1nr/ppp1bppp/n2p4/3Pp3/4P3/P1N2N2/1PP2PPP/R1BQKB1R w KQkq - 3 7,97
r1bqk1nr/ppp1bppp/n2p4/3Pp3/1P2P3/P1N2N2/2P2PPP/R1BQKB1R b KQkq - 0 7,78
r1bqk2r/ppp1bppp/n2p1n2/3Pp3/1P2P3/P1N2N2/2P2PPP/R1BQKB1R w KQkq - 1 8,74
